followers,following,follower_following_ratio,public_repos,gh_impact,name_h,Team type
39.0,41.0,1.6180555555555556,126.0,2.0,--iqCZE8ygTIzjke0InO_w/DsUJjAzSrZHpyQzkVmwf4A,human
0.0,0.0,0.0,25.0,1.0,--ynbYaQNUt9ObdPSaKAAA/ucOcrZ9PVv51EXaDXBXtQg,human
27.0,21.0,1.35,90.0,1.0,-0K4o6gTtkvDYvsNJiOeEA/neOX4u0j5t1dnkldD8zuiw,human
0.0,0.0,0.0,11.0,0.0,-0Pr09MJXbjkm0S0aFgwSQ/clNeEOtjeVxUV04F0zbomQ,human
2.0,1.0,0.0,34.0,1.0,-0TJRtTYq1YTWD0Yrm1R0Q/bm3dfy4XVfvaLJYBR_P5_A,human
94.0,91.0,8.55,207.0,8.0,-0X98iOmzyoO9dAI3XZxug/fUpWuEcdiQvFiGGKkLKEig,human
1.0,1.0,0.0,7.0,0.0,-0oHGaiaNw6jjKZZY800TQ/MBmdaI0r7cMJFGSPlKnetQ,human
74.0,82.0,1.852218782249742,324.0,6.0,-0yMYamZ18PGy6CaMqe49w/iECVNjE150nc99gG7laicQ,human
57.0,40.0,2.237037037037037,187.0,5.0,-1CyKM3PxcHNoaouEm7jUw/N1-s1fW2YENm8OneyOxP-Q,human
3.0,2.0,1.5,6.0,1.0,-1qMh-CuvEfRmNZ332ZlRw/nbPitw5XHuat4_jPsAegrQ,human
2.0,2.0,2.0,8.0,4.0,-21W9LMqnhQA76XXO75Liw/C--TadMDGwW0x9ZKUmf2DA,human
7.0,4.0,4.5,12.0,4.0,-21W9LMqnhQA76XXO75Liw/DfzND_aJtmTQzzMuevYlbw,human
11.0,13.0,1.6428571428571428,20.0,0.0,-2L0aLQ22e7NlLEhZP_spA/1oB7MXjQCcnT4tM2SXWwEQ,human
0.0,0.0,0.0,4.0,0.0,-2O6VwhBcLVzG3W9psUnxQ/p8yLH6D2bora_PEw617XMg,human
0.0,1.0,0.0,19.0,1.0,-2SegQwUTy-qO-vf0EIOlQ/EBbSenGk1Ql-HU0vqa7oMQ,human
27.0,25.0,2.166666666666667,115.0,2.0,-2bj5PafVC4Od-llBYDgjQ/SIm__PwqEeiDPJz-O5W2Og,human
111.0,224.0,8.604724117805512,682.0,16.0,-2eEmMGH_9GMVVn0WImTyA/fqB6po6-zxOceVyOZhgyNg,human-bot
2.0,2.0,2.0,15.0,1.0,-35rxiUHT0yVytCExfxsVA/bxjxPkZLoZ2EG4dLecdWrQ,human
19.0,5.0,9.166666666666666,45.0,2.0,-3VoRrjQXoNLIREvXFeFEw/LrqPNYoJWnB4EQah3kH27A,human
3.0,6.0,1.25,20.0,0.0,-3gtmUhOahTOotE4pYFbjg/DKqrxe2yACG93TBste5aUA,human
0.0,0.0,0.0,16.0,0.0,-3p7GI1t5m3JO17jCo7d-Q/6cMzxpwa4fbhWRE6GrngTQ,human
62.0,125.0,8.444444444444443,276.0,9.0,-3yDGS46m7o2VVZvfDTERw/idZgJ8U43ry9cWuFaOd7Ag,human
0.0,0.0,0.0,10.0,0.0,-4N-3mrcEEHWGFz6AjArNw/2qi5C4--_2eu3rfRqeupSQ,human
7.0,3.0,7.0,23.0,1.0,-4d-rY4nywjzSQ_rFnuGcg/HePRPN4pHu2OYWYYoluQ2Q,human
1.0,3.0,0.5,13.0,2.0,-4llPjcaaXKkdng4BKtjdg/k6nVwyUvK196ybpxUYlNug,human
1.0,4.0,1.0,22.0,0.0,-4uaSnyWFl9RFsiwA7PqoQ/nzcN7b_AgibmWPmWyU3Yiw,human
0.0,2.0,0.0,14.0,0.0,-58U2gGQVpDihArRliVNmA/u7wvrKO8FqoPARLxldUjdg,human
265.0,880.0,4.608644186151281,173.0,6.0,-5eXIotuI2u6lIuUNvNWlw/Lkn4iEG381MVNn71paG9Eg,human
3.0,4.0,0.75,34.0,0.0,-5r_p3TH1cbyu-2wQSMwew/szAZHPeIAFca0rTxTX8PUA,human
0.0,1.0,0.0,19.0,1.0,-61hySZiEmvGl1Ri-wJB1A/6CPEtjHDlPgBD72waVmjZA,human
0.0,8.0,0.0,18.0,4.0,-66ws0atAamJjo-TjUBRaw/2mLsOdckrFs6EOuTUIZEcA,human
133.0,42.0,3.7692307692307687,124.0,2.0,-6BZiv8eosmb19vHZB_7gg/5IoHmGPqHqHgCf8z_zz5Ww,human
7.0,7.0,0.5714285714285714,141.0,1.0,-6OHgVIieF7ELdTbnXJB1Q/CwtaHwdVVr8_uMnyuhxMGw,human
65.0,127.0,2.6273268398268397,246.0,8.0,-6RdlRwrX0Ptd5HPiXbE-A/OMYNjw_dMxnOROCu0-r8lw,human
102.0,99.0,3.283415435139573,397.0,4.0,-6anJ4DSu_k-f_q8ml-pvA/G7BkqFzkMAd1A3sS9uDzMQ,human
8.0,8.0,2.833333333333333,9.0,0.0,-6gQWbvPGgjZtiCojiQxMw/JuKHOLUe69Jc9Nc0sztTnw,human
1.0,1.0,0.0,39.0,1.0,-6hBnVXZ_HNj0UNCHVkKiQ/cd-_vGx-AOknwagrV2yS9w,human
2.0,0.0,0.0,10.0,0.0,-6wDKZeB12URUaot9eQRHA/eC4XQGWgE_nEZAlpZkFEKw,human
154.0,72.0,2.567741935483871,92.0,5.0,-793kqcr-OaqLLZu6DH06A/ndXYZIygAtM3CTGK4pnI8w,human
192.0,164.0,1.1925465838509317,245.0,12.0,-79DWwnl1EOIWgHARytGuA/iMnU9yXQZ2LKyF_rQ8lbTg,human
4.0,3.0,2.5,17.0,1.0,-7C3i66PNjHqfi427AgMDQ/6WhPrjeNEbhKmwyNlzfIDg,human
4.0,5.0,0.6,52.0,0.0,-7RflcYRL32rlMQyOJc25A/2hZ6WsdI4nYpH2tY3gfuyw,human
3.0,3.0,3.0,18.0,0.0,-7bmzEtWrGebnIs0yxn0TQ/H3NALGRAAqfqPJUy6LpBOQ,human
1.0,8.0,0.16666666666666666,36.0,2.0,-7e_1HQXTYjf8x6wdWOLcA/4UCOFFuX_x9RI_plFWJhWg,human
0.0,0.0,0.0,8.0,0.0,-7uyjbEkP4oHO9_q4slsoQ/Rvhvqmu_mslKfkWVCaIO0A,human
33.0,26.0,2.278195488721804,139.0,3.0,-8DErIWpLTK6AQTsMr2cJA/YSCaq_QZC5hOkfl51lhZWQ,human
601.0,457.0,2.472241029113067,184.0,12.0,-8J9dOJzDxHkWK8hxFdcmA/5X9F9wb8Voy8kU7_6xjX5Q,human
101.0,33.0,4.954545454545456,79.0,4.0,-8aMcFepE6npzBzA-yhADw/Dba_xvbJDHer13EycaPq3Q,human
0.0,2.0,0.0,12.0,0.0,-8o4JFe4po0YfzyzZXl_gQ/EiCbFtl99nB7EMZLh5rtPw,human
18.0,12.0,4.125,79.0,3.0,-8xZktDgZzCJB9UrhD8OeQ/aIpyE3VuQ3hGO6stsFX6aA,human
0.0,1.0,0.0,14.0,1.0,-97uGkdzDgpuOmOoLBKAAw/RGDt5bUbqE9WM1uB3nET-g,human
33.0,5.0,16.5,44.0,1.0,-9OpsDTgGGFIz824d5V7Rg/e0mEP3pDPPVVlb-m6WwCNQ,human
11.0,9.0,5.666666666666667,24.0,2.0,-9YJLA0TUF-1ijSE5Avx5g/NmuH2X_-8QOq_o7ta2yD9Q,human
2.0,1.0,2.0,16.0,0.0,-9t0mgAQfC0uyZpnbDQahw/Db7NJgVj_LYN96liNpJvDA,human
117.0,128.0,22.71969696969697,314.0,10.0,-ACdWIbNn9DI7RIxZZ7qJw/p--4qYkJxiYLjqC8w1h1Mw,human
22.0,13.0,5.071428571428572,71.0,4.0,-AJWPy4TO1qNfxyF3aJ0ZQ/_0OoKZgN2e_YIvA10BC-LA,human
2.0,0.0,0.0,17.0,0.0,-A_PyYNS-VTHbEgAqSdLVQ/0rUSLeICmiK2pStfDFKd4g,human
